100,4,99,13
55,84,14,87
23,34,38,99
61,66,91,65
41,44,82,34
8,38,22,36
80,71,90,26
33,31,48,33
46,93,3,77
44,7,80,64
30,94,88,37
76,20,82,9
14,18,83,62
30,96,35,29
35,77,90,22
55,46,56,16
69,43,23,44
42,98,24,54
89,29,6,20
62,61,11,95
81,14,58,7
68,49,0,41
48,96,10,74
24,4,17,54
28,6,88,8
79,48,74,28
11,26,73,56
92,45,66,79
63,29,67,56
36,63,2,52
41,30,65,72
65,30,2,97
6,97,27,83
91,39,83,40
16,27,31,37
15,31,26,39
68,84,55,4
5,28,68,25
79,17,99,96
22,4,40,79
66,65,14,0
49,30,62,89
22,34,34,82
0,92,99,68
59,17,100,70
27,20,76,91
79,97,52,53
49,14,31,23
33,64,49,8
89,79,5,98
